Region;Building type;Age cohort;Insulation product;value
BEL;MFH;>1945;Insulation (Roof);0
BEL;MFH;>1945;Insulation (Floor);0
BEL;MFH;>1945;Insulation (Basement);0
BEL;MFH;1945-1969;Insulation;10.13109219
BEL;MFH;1945-1969;Insulation (Exterior wall);0
BEL;MFH;1945-1969;Insulation (Roof);0
BEL;MFH;1945-1969;Insulation (Floor);0
BEL;MFH;1945-1969;Insulation (Basement);0
BEL;MFH;1970-1989;Insulation;12.83010603
BEL;MFH;1970-1989;Insulation (Exterior wall);0
BEL;MFH;1970-1989;Insulation (Roof);0
BEL;MFH;1970-1989;Insulation (Floor);0
BEL;MFH;1970-1989;Insulation (Basement);0
BEL;MFH;1990-2010;Insulation;12.08391214
BEL;MFH;1990-2010;Insulation (Exterior wall);0
BEL;MFH;1990-2010;Insulation (Roof);0
BEL;MFH;1990-2010;Insulation (Floor);0
BEL;MFH;1990-2010;Insulation (Basement);0
BEL;MFH;2011-2020;Insulation;15.17078186
BEL;MFH;2011-2020;Insulation (Exterior wall);0
BEL;MFH;2011-2020;Insulation (Roof);0
BEL;MFH;2011-2020;Insulation (Floor);0
BEL;MFH;2011-2020;Insulation (Basement);0
BEL;MFH;2021-2030;Insulation;0
BEL;MFH;2021-2030;Insulation (Exterior wall);8.473571189
BEL;MFH;2021-2030;Insulation (Roof);2.992257854
BEL;MFH;2021-2030;Insulation (Floor);2.417884479
BEL;MFH;2021-2030;Insulation (Basement);1.287068335
BEL;MFH;2031-2040;Insulation;0
BEL;MFH;2031-2040;Insulation (Exterior wall);8.473571189
BEL;MFH;2031-2040;Insulation (Roof);2.992257854
BEL;MFH;2031-2040;Insulation (Floor);2.417884479
BEL;MFH;2031-2040;Insulation (Basement);1.287068335
BEL;MFH;2040<;Insulation;0
BEL;MFH;2040<;Insulation (Exterior wall);8.473571189
BEL;MFH;2040<;Insulation (Roof);2.992257854
BEL;MFH;2040<;Insulation (Floor);2.417884479
BEL;MFH;2040<;Insulation (Basement);1.287068335
BEL;Ret;>1945;Insulation;7.065853659
BEL;Ret;>1945;Insulation (Exterior wall);0
BEL;Ret;>1945;Insulation (Roof);0
BEL;Ret;>1945;Insulation (Floor);0
BEL;Ret;>1945;Insulation (Basement);0
BEL;Ret;1945-1969;Insulation;7.065853659
BEL;Ret;1945-1969;Insulation (Exterior wall);0
BEL;Ret;1945-1969;Insulation (Roof);0
BEL;Ret;1945-1969;Insulation (Floor);0
BEL;Ret;1945-1969;Insulation (Basement);0
BEL;Ret;1970-1989;Insulation;32.68195122
BEL;Ret;1970-1989;Insulation (Exterior wall);0
BEL;Ret;1970-1989;Insulation (Roof);0
BEL;Ret;1970-1989;Insulation (Floor);0
BEL;Ret;1970-1989;Insulation (Basement);0
BEL;Ret;1990-2010;Insulation;32.68195122
BEL;Ret;1990-2010;Insulation (Exterior wall);0
BEL;Ret;1990-2010;Insulation (Roof);0
BEL;Ret;1990-2010;Insulation (Floor);0
BEL;Ret;1990-2010;Insulation (Basement);0
BEL;Ret;2011-2020;Insulation;22.55631613
BEL;Ret;2011-2020;Insulation (Exterior wall);0
BEL;Ret;2011-2020;Insulation (Roof);0
BEL;Ret;2011-2020;Insulation (Floor);0
BEL;Ret;2011-2020;Insulation (Basement);0
BEL;Ret;2021-2030;Insulation;0
BEL;Ret;2021-2030;Insulation (Exterior wall);1.887511208
BEL;Ret;2021-2030;Insulation (Roof);18.26880492
BEL;Ret;2021-2030;Insulation (Floor);2.4
BEL;Ret;2021-2030;Insulation (Basement);0
BEL;Ret;2031-2040;Insulation;0
BEL;Ret;2031-2040;Insulation (Exterior wall);1.887511208
BEL;Ret;2031-2040;Insulation (Roof);18.26880492
BEL;Ret;2031-2040;Insulation (Floor);2.4
BEL;Ret;2031-2040;Insulation (Basement);0
BEL;Ret;2040<;Insulation;0
BEL;Ret;2040<;Insulation (Exterior wall);1.887511208
BEL;Ret;2040<;Insulation (Roof);18.26880492
BEL;Ret;2040<;Insulation (Floor);2.4
BEL;Ret;2040<;Insulation (Basement);0
BEL;Off;>1945;Insulation;3.705263158
BEL;Off;>1945;Insulation (Exterior wall);0
BEL;Off;>1945;Insulation (Roof);0
BEL;Off;>1945;Insulation (Floor);0
BEL;Off;>1945;Insulation (Basement);0
BEL;Off;1945-1969;Insulation;5.364210526
BEL;Off;1945-1969;Insulation (Exterior wall);0
BEL;Off;1945-1969;Insulation (Roof);0
BEL;Off;1945-1969;Insulation (Floor);0
BEL;Off;1945-1969;Insulation (Basement);0
BEL;Off;1970-1989;Insulation;19.7712
BEL;Off;1970-1989;Insulation (Exterior wall);0
BEL;Off;1970-1989;Insulation (Roof);0
BEL;Off;1970-1989;Insulation (Floor);0
BEL;Off;1970-1989;Insulation (Basement);0
BEL;Off;1990-2010;Insulation;13.14272
BEL;Off;1990-2010;Insulation (Exterior wall);0
BEL;Off;1990-2010;Insulation (Roof);0
BEL;Off;1990-2010;Insulation (Floor);0
BEL;Off;1990-2010;Insulation (Basement);0
BEL;Off;2011-2020;Insulation;13.14272
BEL;Off;2011-2020;Insulation (Exterior wall);0
BEL;Off;2011-2020;Insulation (Roof);0
BEL;Off;2011-2020;Insulation (Floor);0
BEL;Off;2011-2020;Insulation (Basement);0
BEL;Off;2021-2030;Insulation;0
BEL;Off;2021-2030;Insulation (Exterior wall);8.50272
BEL;Off;2021-2030;Insulation (Roof);2.24
BEL;Off;2021-2030;Insulation (Floor);2.4
BEL;Off;2021-2030;Insulation (Basement);0
BEL;Off;2031-2040;Insulation;0
BEL;Off;2031-2040;Insulation (Exterior wall);8.50272
BEL;Off;2031-2040;Insulation (Roof);2.24
BEL;Off;2031-2040;Insulation (Floor);2.4
BEL;Off;2031-2040;Insulation (Basement);0
BEL;Off;2040<;Insulation;0
BEL;Off;2040<;Insulation (Exterior wall);8.50272
BEL;Off;2040<;Insulation (Roof);2.24
BEL;Off;2040<;Insulation (Floor);2.4
BEL;Off;2040<;Insulation (Basement);0
BEL;Hot;>1945;Insulation;3.705263158
BEL;Hot;>1945;Insulation (Exterior wall);0
BEL;Hot;>1945;Insulation (Roof);0
BEL;Hot;>1945;Insulation (Floor);0
BEL;Hot;>1945;Insulation (Basement);0
BEL;Hot;1945-1969;Insulation;5.364210526
BEL;Hot;1945-1969;Insulation (Exterior wall);0
BEL;Hot;1945-1969;Insulation (Roof);0
BEL;Hot;1945-1969;Insulation (Floor);0
BEL;Hot;1945-1969;Insulation (Basement);0
BEL;Hot;1970-1989;Insulation;19.7712
BEL;Hot;1970-1989;Insulation (Exterior wall);0
BEL;Hot;1970-1989;Insulation (Roof);0
BEL;Hot;1970-1989;Insulation (Floor);0
BEL;Hot;1970-1989;Insulation (Basement);0
BEL;Hot;1990-2010;Insulation;13.14272
BEL;Hot;1990-2010;Insulation (Exterior wall);0
BEL;Hot;1990-2010;Insulation (Roof);0
BEL;Hot;1990-2010;Insulation (Floor);0
BEL;Hot;1990-2010;Insulation (Basement);0
BEL;Hot;2011-2020;Insulation;13.14272
BEL;Hot;2011-2020;Insulation (Exterior wall);0
BEL;Hot;2011-2020;Insulation (Roof);0
BEL;Hot;2011-2020;Insulation (Floor);0
BEL;Hot;2011-2020;Insulation (Basement);0
BEL;Hot;2021-2030;Insulation;0
BEL;Hot;2021-2030;Insulation (Exterior wall);8.50272
BEL;Hot;2021-2030;Insulation (Roof);2.24
BEL;Hot;2021-2030;Insulation (Floor);2.4
BEL;Hot;2021-2030;Insulation (Basement);0
BEL;Hot;2031-2040;Insulation;0
BEL;Hot;2031-2040;Insulation (Exterior wall);8.50272
BEL;Hot;2031-2040;Insulation (Roof);2.24
BEL;Hot;2031-2040;Insulation (Floor);2.4
BEL;Hot;2031-2040;Insulation (Basement);0
BEL;Hot;2040<;Insulation;0
BEL;Hot;2040<;Insulation (Exterior wall);8.50272
BEL;Hot;2040<;Insulation (Roof);2.24
BEL;Hot;2040<;Insulation (Floor);2.4
BEL;Hot;2040<;Insulation (Basement);0
BEL;Edu;>1945;Insulation;3.705263158
BEL;Edu;>1945;Insulation (Exterior wall);0
BEL;Edu;>1945;Insulation (Roof);0
BEL;Edu;>1945;Insulation (Floor);0
BEL;Edu;>1945;Insulation (Basement);0
BEL;Edu;1945-1969;Insulation;5.364210526
BEL;Edu;1945-1969;Insulation (Exterior wall);0
BEL;Edu;1945-1969;Insulation (Roof);0
BEL;Edu;1945-1969;Insulation (Floor);0
BEL;Edu;1945-1969;Insulation (Basement);0
BEL;Edu;1970-1989;Insulation;19.7712
BEL;Edu;1970-1989;Insulation (Exterior wall);0
BEL;Edu;1970-1989;Insulation (Roof);0
BEL;Edu;1970-1989;Insulation (Floor);0
BEL;Edu;1970-1989;Insulation (Basement);0
BEL;Edu;1990-2010;Insulation;13.14272
BEL;Edu;1990-2010;Insulation (Exterior wall);0
BEL;Edu;1990-2010;Insulation (Roof);0
BEL;Edu;1990-2010;Insulation (Floor);0
BEL;Edu;1990-2010;Insulation (Basement);0
BEL;Edu;2011-2020;Insulation;13.14272
BEL;Edu;2011-2020;Insulation (Exterior wall);0
BEL;Edu;2011-2020;Insulation (Roof);0
BEL;Edu;2011-2020;Insulation (Floor);0
BEL;Edu;2011-2020;Insulation (Basement);0
BEL;Edu;2021-2030;Insulation;0
BEL;Edu;2021-2030;Insulation (Exterior wall);8.50272
