Region,Time,Vehicle size,Value
CYP,2036,light truck,0.02446612132993729
CYP,2036,minivan_SUV,0.30745536
CYP,2037,microcar,0.07994074374841609
CYP,2037,passenger car,0.5889632
CYP,2037,light truck,0.02254757625158399
CYP,2037,minivan_SUV,0.30854848
CYP,2038,microcar,0.07997329810885416
CYP,2038,passenger car,0.5895328
CYP,2038,light truck,0.02114798189114591
CYP,2038,minivan_SUV,0.30934592
CYP,2039,microcar,0.07999323308238085
CYP,2039,passenger car,0.5898815999999999
CYP,2039,light truck,0.02029092691761922
CYP,2039,minivan_SUV,0.30983424
CYP,2040,microcar,0.08
CYP,2040,passenger car,0.59
CYP,2040,light truck,0.02000000000000007
CYP,2040,minivan_SUV,0.31
CYP,2041,microcar,0.08
CYP,2041,passenger car,0.59
CYP,2041,light truck,0.02000000000000007
CYP,2041,minivan_SUV,0.31
CYP,2042,microcar,0.08
CYP,2042,passenger car,0.59
CYP,2042,light truck,0.02000000000000007
CYP,2042,minivan_SUV,0.31
CYP,2043,microcar,0.08
CYP,2043,passenger car,0.59
CYP,2043,light truck,0.02000000000000007
CYP,2043,minivan_SUV,0.31
CYP,2044,microcar,0.08
CYP,2044,passenger car,0.59
CYP,2044,light truck,0.02000000000000007
CYP,2044,minivan_SUV,0.31
CYP,2045,microcar,0.08
CYP,2045,passenger car,0.59
CYP,2045,light truck,0.02000000000000007
CYP,2045,minivan_SUV,0.31
CYP,2046,microcar,0.08
CYP,2046,passenger car,0.59
CYP,2046,light truck,0.02000000000000007
CYP,2046,minivan_SUV,0.31
CYP,2047,microcar,0.08
CYP,2047,passenger car,0.59
CYP,2047,light truck,0.02000000000000007
CYP,2047,minivan_SUV,0.31
CYP,2048,microcar,0.08
CYP,2048,passenger car,0.59
CYP,2048,light truck,0.02000000000000007
CYP,2048,minivan_SUV,0.31
CYP,2049,microcar,0.08
CYP,2049,passenger car,0.59
CYP,2049,light truck,0.02000000000000007
CYP,2049,minivan_SUV,0.31
CYP,2050,microcar,0.08
CYP,2050,passenger car,0.59
CYP,2050,light truck,0.02000000000000007
CYP,2050,minivan_SUV,0.31
CZE,2012,microcar,0.07714234897839932
CZE,2012,passenger car,0.54
CZE,2012,light truck,0.1428576510216006
CZE,2012,minivan_SUV,0.24
CZE,2013,microcar,0.07714234897839932
CZE,2013,passenger car,0.54
CZE,2013,light truck,0.1428576510216006
CZE,2013,minivan_SUV,0.24
CZE,2014,microcar,0.07714234897839932
CZE,2014,passenger car,0.54
CZE,2014,light truck,0.1428576510216006
CZE,2014,minivan_SUV,0.24
CZE,2015,microcar,0.07714234897839932
CZE,2015,passenger car,0.54
CZE,2015,light truck,0.1428576510216006
CZE,2015,minivan_SUV,0.24
CZE,2016,microcar,0.07731371659486266
CZE,2016,passenger car,0.5429984
CZE,2016,light truck,0.1354901234051373
CZE,2016,minivan_SUV,0.24419776
CZE,2017,microcar,0.07748453554232988
CZE,2017,passenger car,0.5459872
CZE,2017,light truck,0.1281461844576701
CZE,2017,minivan_SUV,0.24838208
CZE,2018,microcar,0.07765425715180478
CZE,2018,passenger car,0.5489568000000002
CZE,2018,light truck,0.1208494228481952
CZE,2018,minivan_SUV,0.25253952
CZE,2019,microcar,0.07782233275429125
CZE,2019,passenger car,0.5518976
CZE,2019,light truck,0.1136234272457087
CZE,2019,minivan_SUV,0.25665664
CZE,2020,microcar,0.07798821368079313
CZE,2020,passenger car,0.5548
CZE,2020,light truck,0.1064917863192069
CZE,2020,minivan_SUV,0.26072
CZE,2021,microcar,0.07815135126231426
CZE,2021,passenger car,0.5576544
CZE,2021,light truck,0.09947808873768572
CZE,2021,minivan_SUV,0.26471616
CZE,2022,microcar,0.07831119682985851
CZE,2022,passenger car,0.5604511999999999
CZE,2022,light truck,0.09260592317014146
CZE,2022,minivan_SUV,0.26863168
CZE,2023,microcar,0.07846720171442975
CZE,2023,passenger car,0.5631808
CZE,2023,light truck,0.08589887828557027
CZE,2023,minivan_SUV,0.27245312
CZE,2024,microcar,0.07861881724703178
CZE,2024,passenger car,0.5658335999999999
CZE,2024,light truck,0.07938054275296823
CZE,2024,minivan_SUV,0.27616704
CZE,2025,microcar,0.0787654947586685
CZE,2025,passenger car,0.5684
CZE,2025,light truck,0.0730745052413315
CZE,2025,minivan_SUV,0.27976
CZE,2026,microcar,0.07890668558034375
CZE,2026,passenger car,0.5708704
CZE,2026,light truck,0.06700435441965627
CZE,2026,minivan_SUV,0.28321856
CZE,2027,microcar,0.07904184104306138
CZE,2027,passenger car,0.5732352
CZE,2027,light truck,0.06119367895693864
CZE,2027,minivan_SUV,0.28652928
CZE,2028,microcar,0.07917041247782523
CZE,2028,passenger car,0.5754847999999999
CZE,2028,light truck,0.0556660675221748
CZE,2028,minivan_SUV,0.2896787199999999
CZE,2029,microcar,0.07929185121563917
CZE,2029,passenger car,0.5776096
CZE,2029,light truck,0.05044510878436086
CZE,2029,minivan_SUV,0.29265344
CZE,2030,microcar,0.07940560858750706
CZE,2030,passenger car,0.5795999999999999
CZE,2030,light truck,0.04555439141249299
CZE,2030,minivan_SUV,0.29544
CZE,2031,microcar,0.07951113592443274
CZE,2031,passenger car,0.5814463999999999
CZE,2031,light truck,0.04101750407556732
CZE,2031,minivan_SUV,0.29802496
CZE,2032,microcar,0.07960788455742004
