"region","sector","product","polymer","value"
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203130 - Woven fabrics of man-made filament yarns obtained from high tenacity yarn, strip or the like (including nylon, other polyamides, polyester, viscose rayon)","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203130 - Woven fabrics of man-made filament yarns obtained from high tenacity yarn, strip or the like (including nylon, other polyamides, polyester, viscose rayon)","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203130 - Woven fabrics of man-made filament yarns obtained from high tenacity yarn, strip or the like (including nylon, other polyamides, polyester, viscose rayon)","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203130 - Woven fabrics of man-made filament yarns obtained from high tenacity yarn, strip or the like (including nylon, other polyamides, polyester, viscose rayon)","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203130 - Woven fabrics of man-made filament yarns obtained from high tenacity yarn, strip or the like (including nylon, other polyamides, polyester, viscose rayon)","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203130 - Woven fabrics of man-made filament yarns obtained from high tenacity yarn, strip or the like (including nylon, other polyamides, polyester, viscose rayon)","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203210 - Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203210 - Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203210 - Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203210 - Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203210 - Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203210 - Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203210 - Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203210 - Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203220 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton (excluding fabrics of yarns of different colours)","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203220 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton (excluding fabrics of yarns of different colours)","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203220 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton (excluding fabrics of yarns of different colours)","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203220 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton (excluding fabrics of yarns of different colours)","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203220 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton (excluding fabrics of yarns of different colours)","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203220 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton (excluding fabrics of yarns of different colours)","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203220 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton (excluding fabrics of yarns of different colours)","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203220 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton (excluding fabrics of yarns of different colours)","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203230 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of yarns of different colours","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203230 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of yarns of different colours","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203230 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of yarns of different colours","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203230 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of yarns of different colours","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203230 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of yarns of different colours","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203230 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of yarns of different colours","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203230 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of yarns of different colours","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203230 - Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of yarns of different colours","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203240 - Woven fabrics of synthetic staple fibres mixed mainly or solely with carded wool or fine animal hair","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203240 - Woven fabrics of synthetic staple fibres mixed mainly or solely with carded wool or fine animal hair","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203240 - Woven fabrics of synthetic staple fibres mixed mainly or solely with carded wool or fine animal hair","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203240 - Woven fabrics of synthetic staple fibres mixed mainly or solely with carded wool or fine animal hair","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203240 - Woven fabrics of synthetic staple fibres mixed mainly or solely with carded wool or fine animal hair","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203240 - Woven fabrics of synthetic staple fibres mixed mainly or solely with carded wool or fine animal hair","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203240 - Woven fabrics of synthetic staple fibres mixed mainly or solely with carded wool or fine animal hair","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203240 - Woven fabrics of synthetic staple fibres mixed mainly or solely with carded wool or fine animal hair","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203250 - Woven fabrics of synthetic staple fibres mixed mainly or solely with combed wool or fine animal hair","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203250 - Woven fabrics of synthetic staple fibres mixed mainly or solely with combed wool or fine animal hair","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203250 - Woven fabrics of synthetic staple fibres mixed mainly or solely with combed wool or fine animal hair","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203250 - Woven fabrics of synthetic staple fibres mixed mainly or solely with combed wool or fine animal hair","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203250 - Woven fabrics of synthetic staple fibres mixed mainly or solely with combed wool or fine animal hair","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203250 - Woven fabrics of synthetic staple fibres mixed mainly or solely with combed wool or fine animal hair","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203250 - Woven fabrics of synthetic staple fibres mixed mainly or solely with combed wool or fine animal hair","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203250 - Woven fabrics of synthetic staple fibres mixed mainly or solely with combed wool or fine animal hair","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203290 - Woven fabrics of synthetic staple fibres mixed other than with wool, fine animal hair or cotton","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203290 - Woven fabrics of synthetic staple fibres mixed other than with wool, fine animal hair or cotton","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203290 - Woven fabrics of synthetic staple fibres mixed other than with wool, fine animal hair or cotton","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203290 - Woven fabrics of synthetic staple fibres mixed other than with wool, fine animal hair or cotton","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203290 - Woven fabrics of synthetic staple fibres mixed other than with wool, fine animal hair or cotton","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203290 - Woven fabrics of synthetic staple fibres mixed other than with wool, fine animal hair or cotton","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203290 - Woven fabrics of synthetic staple fibres mixed other than with wool, fine animal hair or cotton","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203290 - Woven fabrics of synthetic staple fibres mixed other than with wool, fine animal hair or cotton","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203330 - Woven fabrics of artificial staple fibres, not of yarns of different colours","PET",5
