"code","region","time","sector","polymer","element","value","","nb of product","","reusable share","","SU + RU"
"2030single-use non-beverage bottles","EU27+3",2030,"single-use non-beverage bottles","PET","All",296.7750696171261,"",7067289487.066466,"",0.1,"",7852543874.518295
"2031single-use non-beverage bottles","EU27+3",2031,"single-use non-beverage bottles","PET","All",294.74710664140906,"",7018996342.238178,"",0.115,"",7931069313.263478
"2032single-use non-beverage bottles","EU27+3",2032,"single-use non-beverage bottles","PET","All",292.648906899216,"",6969030605.564619,"",0.13,"",8010380006.396113
"2033single-use non-beverage bottles","EU27+3",2033,"single-use non-beverage bottles","PET","All",290.4792684515149,"",6917363654.523363,"",0.14500000000000002,"",8090483806.460074
"2034single-use non-beverage bottles","EU27+3",2034,"single-use non-beverage bottles","PET","All",288.2369723441699,"",6863966461.400727,"",0.16,"",8171388644.524675
"2035single-use non-beverage bottles","EU27+3",2035,"single-use non-beverage bottles","PET","All",285.9207823878328,"",6808809588.050185,"",0.175,"",8253102530.969922
"2036single-use non-beverage bottles","EU27+3",2036,"single-use non-beverage bottles","PET","All",283.52944493513456,"",6751863180.5864935,"",0.19,"",8335633556.279621
"2037single-use non-beverage bottles","EU27+3",2037,"single-use non-beverage bottles","PET","All",281.06168865514354,"",6693096964.014722,"",0.20500000000000002,"",8418989891.842418
"2038single-use non-beverage bottles","EU27+3",2038,"single-use non-beverage bottles","PET","All",278.51622430505927,"",6632480236.793457,"",0.22,"",8503179790.760842
"2039single-use non-beverage bottles","EU27+3",2039,"single-use non-beverage bottles","PET","All",275.89174449910774,"",6569981865.331365,"",0.23500000000000001,"",8588211588.66845
"2040single-use non-beverage bottles","EU27+3",2040,"single-use non-beverage bottles","PET","All",273.1869234746067,"",6505570278.416351,"",0.25,"",8674093704.555136
"2041single-use non-beverage bottles","EU27+3",2041,"single-use non-beverage bottles","PET","All",266.72149961904097,"",6351605115.160498,"",0.275,"",8760834641.600687
