,time,region,sector,polymer,element,mechanical_recycling_cycle,reuse_cycle,value
271,2020.75,EU27+3,single-use sheet (tray),PET,All,4,0,5.328647336695048
272,2020.75,EU27+3,single-use sheet (tray),PET,All,5,0,2.3446048281458216
273,2020.75,EU27+3,single-use sheet (tray),PET,All,6,0,1.0316261243841616
274,2020.75,EU27+3,single-use sheet (tray),PET,All,7,0,0.45391549472903103
275,2020.75,EU27+3,flexible packaging,PET,All,0,0,87.03703703703704
276,2020.75,EU27+3,other,PET,All,0,0,6.351351351351351
277,2020.75,EU27+3,other,PET,All,1,0,5.401818781791272
278,2020.75,EU27+3,other,PET,All,2,0,4.578045186001171
279,2020.75,EU27+3,other,PET,All,3,0,3.867708277255461
280,2020.75,EU27+3,other,PET,All,4,0,3.915255135622461
281,2020.75,EU27+3,other,PET,All,5,0,3.132204108497968
282,2020.75,EU27+3,other,PET,All,6,0,2.505763286798375
283,2020.75,EU27+3,other,PET,All,7,0,2.0046106294387007
284,2021.0,EU27+3,single-use beverage bottles,PET,All,0,0,579.6616616616617
285,2021.0,EU27+3,single-use beverage bottles,PET,All,1,0,139.12364898691064
286,2021.0,EU27+3,single-use beverage bottles,PET,All,2,0,33.39083980200538
287,2021.0,EU27+3,single-use beverage bottles,PET,All,3,0,8.014080923316532
288,2021.0,EU27+3,single-use beverage bottles,PET,All,4,0,1.9234464705964256
289,2021.0,EU27+3,single-use beverage bottles,PET,All,5,0,0.4616483263117079
290,2021.0,EU27+3,single-use beverage bottles,PET,All,6,0,0.11079559831480985
291,2021.0,EU27+3,single-use beverage bottles,PET,All,7,0,0.026590943595554355
292,2021.0,EU27+3,single-use non-beverage bottles,PET,All,0,0,57.77977977977979
293,2021.0,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.867630606412314
294,2021.0,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.3283473757625957
295,2021.0,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.7988312174366965
296,2021.0,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.19172617552568882
297,2021.0,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.04601639265486478
298,2021.0,EU27+3,single-use non-beverage bottles,PET,All,6,0,0.01104393423716755
299,2021.0,EU27+3,single-use non-beverage bottles,PET,All,7,0,0.0026505442169202117
300,2021.0,EU27+3,single-use sheet (tray),PET,All,0,0,146.95095095095098
301,2021.0,EU27+3,single-use sheet (tray),PET,All,1,0,64.77523321081071
302,2021.0,EU27+3,single-use sheet (tray),PET,All,2,0,28.55250112140933
303,2021.0,EU27+3,single-use sheet (tray),PET,All,3,0,12.58571583722726
304,2021.0,EU27+3,single-use sheet (tray),PET,All,4,0,5.54766571965514
305,2021.0,EU27+3,single-use sheet (tray),PET,All,5,0,2.4487913640787333
306,2021.0,EU27+3,single-use sheet (tray),PET,All,6,0,1.0774682001946427
307,2021.0,EU27+3,single-use sheet (tray),PET,All,7,0,0.47408600808564283
308,2021.0,EU27+3,flexible packaging,PET,All,0,0,90.74074074074072
309,2021.0,EU27+3,other,PET,All,0,0,6.621621621621621
310,2021.0,EU27+3,other,PET,All,1,0,5.654213347118281
311,2021.0,EU27+3,other,PET,All,2,0,4.808903517551412
312,2021.0,EU27+3,other,PET,All,3,0,4.07554908592656
313,2021.0,EU27+3,other,PET,All,4,0,3.443180286249593
314,2021.0,EU27+3,other,PET,All,5,0,3.4855082990330515
315,2021.0,EU27+3,other,PET,All,6,0,2.7884066392264404
316,2021.0,EU27+3,other,PET,All,7,0,2.2307253113811525
317,2021.25,EU27+3,single-use beverage bottles,PET,All,0,0,579.6616616616617
318,2021.25,EU27+3,single-use beverage bottles,PET,All,1,0,139.12364915601177
319,2021.25,EU27+3,single-use beverage bottles,PET,All,2,0,33.39083988317393
320,2021.25,EU27+3,single-use beverage bottles,PET,All,3,0,8.014080952537206
321,2021.25,EU27+3,single-use beverage bottles,PET,All,4,0,1.9234464799470417
322,2021.25,EU27+3,single-use beverage bottles,PET,All,5,0,0.4616432475084367
323,2021.25,EU27+3,single-use beverage bottles,PET,All,6,0,0.11079946118765013
324,2021.25,EU27+3,single-use beverage bottles,PET,All,7,0,0.026591870685036028
325,2021.25,EU27+3,single-use non-beverage bottles,PET,All,0,0,57.77977977977979
326,2021.25,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.867630623268052
327,2021.25,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.3283473838533486
328,2021.25,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.7988312203493679
329,2021.25,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.19172617645774373
330,2021.25,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.04601588640759339
331,2021.25,EU27+3,single-use non-beverage bottles,PET,All,6,0,0.011044319282370272
332,2021.25,EU27+3,single-use non-beverage bottles,PET,All,7,0,0.0026506366277688656
333,2021.25,EU27+3,single-use sheet (tray),PET,All,0,0,146.95095095095098
334,2021.25,EU27+3,single-use sheet (tray),PET,All,1,0,64.77544463561202
335,2021.25,EU27+3,single-use sheet (tray),PET,All,2,0,28.552687175234464
336,2021.25,EU27+3,single-use sheet (tray),PET,All,3,0,12.585838632751843
337,2021.25,EU27+3,single-use sheet (tray),PET,All,4,0,5.547737759696234
338,2021.25,EU27+3,single-use sheet (tray),PET,All,5,0,2.445390869231927
339,2021.25,EU27+3,single-use sheet (tray),PET,All,6,0,1.0794183256492926
340,2021.25,EU27+3,single-use sheet (tray),PET,All,7,0,0.4749440632856888
341,2021.25,EU27+3,flexible packaging,PET,All,0,0,90.74074074074072
342,2021.25,EU27+3,other,PET,All,0,0,6.621621621621621
343,2021.25,EU27+3,other,PET,All,1,0,5.679998617573854
344,2021.25,EU27+3,other,PET,All,2,0,4.850159950280329
345,2021.25,EU27+3,other,PET,All,3,0,4.125056805201259
346,2021.25,EU27+3,other,PET,All,4,0,3.495988520142604
347,2021.25,EU27+3,other,PET,All,5,0,2.953545276899362
348,2021.25,EU27+3,other,PET,All,6,0,2.9898540646606016
349,2021.25,EU27+3,other,PET,All,7,0,2.391883251728481
350,2021.5,EU27+3,single-use beverage bottles,PET,All,0,0,579.6616616616617
351,2021.5,EU27+3,single-use beverage bottles,PET,All,1,0,139.12364932512466
352,2021.5,EU27+3,single-use beverage bottles,PET,All,2,0,33.390839964348125
353,2021.5,EU27+3,single-use beverage bottles,PET,All,3,0,8.014080981759921
